manufacturer;name;category;subcategory;kgCO2eq (total);use (%);Yearly TEC (kWh);Lifetime;Use Location;date;sources;error (%);Manufacturing;Weight;Assembly Location;Screen size;Server Type;HDD/SSD;RAM;CPU;U;;;;;;;;;;;;;;
HP;HP - HP ZBook Firefly 14 G7 Mobile Workstation;Workplace;Laptop;310;N/A;15,98;4;WW;2020;https://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/Countries/_MultiCountry/productcarbonfootprint_notebo_202061110465870.pdf;35,48%;;;;14;;;;;;;;;;;;;;;;;;;
Asus;Asus - Mini PC PB60;Workplace;Desktop;275;46,20%;60,53;4;;2019;https://csr.asus.com/english/file/PEP_Mini-PC_PB60.pdf;0,00%;41,60%;;;;;;;;;;;;;;;;;;;;;;
Asus;Asus - Notebook C423;Workplace;Laptop;113;32,20%;N/A;4;;2019;https://csr.asus.com/english/file/PEP_Notebook_C423.pdf;0,00%;;;;14;;;;;;;;;;;;;;;;;;;
Fujistu;Fujitsu - ESPRIMO P957;Workplace;Desktop;961;52,00%;37,5;5;Germany;2018;https://sp.ts.fujitsu.com/dmsp/Publications/public/LCA-FUJITSU-Desktop-ESPRIMO-P957.pdf;0,00%;;;;0;;;;;;;;;;;;;;;;;;;
Generic;HighEnd 13inches laptop;Workplace;Laptop;222;0,00%;25;;;2018;https://github.com/Boavizta/environmental-footprint-data;38,00%;;;;13;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 3030 Thin Client ;Workplace;Thin Client;70;39,00%;19,2;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-3030.pdf;44,29%;59,00%;0,64;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 3040 Thin Client ;Workplace;Thin Client;63;40,00%;18,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-3040.pdf;44,44%;59,00%;0,24;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5010 Thin Client ;Workplace;Thin Client;86;50,00%;31,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5010.pdf;38,37%;48,00%;0,93;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5020 Thin Client ;Workplace;Thin Client;89;55,00%;35,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5020.pdf;39,33%;45,00%;0,425;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5040 All-in-One Thin Client ;Workplace;Thin Client;197;67,00%;96,4;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5040.pdf;37,06%;31,00%;3,58;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 3030 Thin Client ;Workplace;Thin Client;70;39,00%;19,2;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-3030.pdf;44,29%;59,00%;0,64;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 3040 Thin Client ;Workplace;Thin Client;63;40,00%;18,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-3040.pdf;44,44%;59,00%;0,24;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5010 Thin Client ;Workplace;Thin Client;86;50,00%;31,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5010.pdf;38,37%;48,00%;0,93;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5020 Thin Client ;Workplace;Thin Client;89;55,00%;35,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5020.pdf;39,33%;45,00%;0,425;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5040 All-in-One Thin Client ;Workplace;Thin Client;197;67,00%;96,4;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5040.pdf;37,06%;31,00%;3,58;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5050 All-in-One Thin Client ;Workplace;Thin Client;144;70,00%;73,67;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5050.pdf;39,58%;29,00%;0,93;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5060 Thin Client ;Workplace;Thin Client;100;56,00%;41;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5060.pdf;37,00%;42,00%;1;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5070 Thin Client ;Workplace;Thin Client;115;41,00%;34,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5070.pdf;59,13%;57,00%;1,11;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 7010 Thin Client ;Workplace;Thin Client;103;54,00%;40,4;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-7010.pdf;38,83%;44,00%;1,1;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 7020 Thin Client ;Workplace;Thin Client;106;55,00%;43;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-7020.pdf;36,79%;43,00%;1,35;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 7040 Thin Client ;Workplace;Thin Client;122;61,00%;53,79;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-7040.pdf;66,39%;37,00%;1,18;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5030 PCoIP Zero Client ;Workplace;Thin Client;94;51,00%;35,38;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5030.pdf;48,94%;48,00%;0,425;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 7030 PCoIP Zero Client ;Workplace;Thin Client;108;55,00%;43,78;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-7030.pdf;47,22%;43,00%;0,816;China;;;;;;;;;;;;;;;;;;;;
Dell;OptiPlex 3050 All-in-One Desktop;Workplace;Desktop;397;41,00%;77,5;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-3050.pdf;17,88%;56,00%;7,715;EU;20;;;;;;;;;;;;;;;;;;;
Dell;OptiPlex 5250 All-in-One Desktop;Workplace;Desktop;448;40,00%;86,1;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5250.pdf;20,31%;57,00%;11,075;EU;21;;;;;;;;;;;;;;;;;;;
Dell;OptiPlex 5260 All-in-One Desktop;Workplace;Desktop;461;39,00%;86,0512;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-5260.pdf;15,62%;58,00%;9,54;China;21;;;;;;;;;;;;;;;;;;;
Dell;OptiPlex 7450 All-in-One Desktop;Workplace;Desktop;551;43,00%;113,5;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-7450.pdf;14,88%;54,00%;11,759;China;24;;;;;;;;;;;;;;;;;;;
Dell;OptiPlex 7460 All-in-One Desktop;Workplace;Desktop;522;42,00%;103,6457;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-7460.pdf;15,52%;56,00%;9,93;EU;23;;;;;;;;;;;;;;;;;;;
Dell;OptiPlex 7760 All-in-One Desktop;Workplace;Desktop;720;35,00%;118,1044;4;EU;December, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-optiplex-7760.pdf;13,89%;62,00%;13,23;China;27;;;;;;;;;;;;;;;;;;;
