manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio
HP,HP Desktop Pro G6 Microtower PC,Workplace,Workstation,785.0,,109.71,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524626.pdf,0.2739,,6.11,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Pro c645 Chromebook,Workplace,Laptop,235.0,,13.19,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525058.pdf,0.2128,,1.7,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Pro c645 Chromebook Enterprise,Workplace,Laptop,235.0,,13.19,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525059.pdf,0.2128,,1.7,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E24t G4 FHD Touch Monitor,Workplace,Monitor,575.0,,39.0,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524856.pdf,0.2174,,6.22,China,24.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E27 G4 FHD Monitor,Workplace,Monitor,580.0,,36.5,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524859.pdf,0.2155,,7.65,China,27.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP E27q G4 QHD Monitor,Workplace,Monitor,620.0,,49.0,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524857.pdf,0.2177,,7.65,China,27.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP mt21 Mobile Thin Client,Workplace,Monitor,355.0,,27.17,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525047.pdf,0.1972,,1.76,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP mt31 Mobile Thin Client,Workplace,Monitor,335.0,,17.33,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525046.pdf,0.1791,,1.74,China,13.3,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 280 G4 SFF Business PC,Workplace,Workstation,550.0,,71.88,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524616.pdf,0.2636,,5.35,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 290 G2 SFF Business PC,Workplace,Workstation,645.0,,97.49,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524614.pdf,0.3023,,5.35,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP P24h G4 23.8-inch Monitor,Workplace,Monitor,550.0,,37.41,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524849.pdf,0.2273,,4.96,China,23.8,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Spectre x360 14 Convertible PC,Workplace,Monitor,350.0,,20.71,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525045.pdf,0.1714,,1.6,China,13.5,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Z22n G2 21.5-inch Monitor,Workplace,Monitor,575.0,,44.69,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524850.pdf,0.2261,,5.49,China,21.5,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ZHAN 99 Pro G2 Microtower PC,Workplace,Workstation,830.0,,129.62,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524619.pdf,0.3012,,6.18,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Zbook 17 G6 Mobile Workstation,Workplace,Laptop,590.0,,57.58,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525044.pdf,0.1949,,3.87,China,17.3,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Chromebook 14A G5,Workplace,Laptop,230.0,,15.61,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525043.pdf,0.2174,,1.71,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProOne 400 G5 23.8-in All-in-One,Workplace,Workstation,630.0,,107.84,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524613.pdf,0.373,,7.7,China,23.8,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ProOne 440 G5 23.8-in All-in-One,Workplace,Workstation,630.0,,107.84,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524610.pdf,0.373,,7.7,China,23.8,,,,,,2022-09-15,HP Auto Parser,,
HP,Chromebook 11 G8 Education Edition,Workplace,Laptop,210.0,,10.3,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525042.pdf,0.2143,,1.5,China,11.6,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Z22n Narrow Bezel IPS Display,Workplace,Monitor,290.0,0.6,,5.0,EU,2017,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524848.pdf,0.1379,,4.95,China,21.5,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 280 G4 MT Business PC,Workplace,Workstation,625.0,,92.8,5.0,Worldwide,2019,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524603.pdf,0.288,,6.1,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 280 Pro G4 MT Business PC,Workplace,Workstation,695.0,,92.8,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524604.pdf,0.2662,,6.1,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 282 Pro G4 MT Business PC,Workplace,Workstation,695.0,,92.8,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524605.pdf,0.2662,,6.1,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 288 Pro G4 MT Business PC,Workplace,Workstation,695.0,,92.8,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524606.pdf,0.2662,,6.1,China,,,,,,,2022-09-15,HP Auto Parser,,
